im kurupted,G11111
Lil Fedora,!Kc cox
KingSplenge,Giving away a few mill first come first serve pm me !
Asap potato,Dyjat
ImTheCosmos,Yep
Pink Drip,"You are a phoenix my friend, geared up with that dragon armour"
Donkiq,Na
Pink Drip,You got my blessings
Donkiq,Ok
Pink Drip,Dot you!!!
KingSplenge,Giving away a few mill first come first serve pm me !
Pink Drip,My friend behind me
Donkiq,Suck the dick
Pink Drip,He got my blessings
Asap potato,Hajde
Pink Drip,Wow
ImTheCosmos,Sweet
KingSplenge,Giving away a few mill first come first serve pm me !
Asap potato,A more range
Pink Drip,Pls
Donkiq,Big one
Donkiq,Jo
Donkiq,Skena nevoj me risk
Donkiq,Palidhje?
Pink Drip,My friend
KingSplenge,Giving away a few mill first come first serve pm me !
Pink Drip,Make those gains
ImTheCosmos,Yeah?
ImTheCosmos,Ill have to
ImTheCosmos,In the winter
Pink Drip,Good luck bretherin
Pink Drip,I have to go now
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Now is the time to get cut and lean out a bit
Pink Drip,Fo sho
Pink Drip,For the girls
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Ill start bulking in the fall
Asap potato,Go
ImTheCosmos,For me
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Girls are just a side perk to it
Pink Drip,Ye good one
Pink Drip,Haha
Pink Drip,Ye man
Pink Drip,Pce!
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,That attracts more
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Xoner
ImTheCosmos,Sounds like some alien boner
Xoner,In the cosmos yeah
ImTheCosmos,Lol
Xoner,Alienboner
KingSplenge,Giving away a few mill first come first serve pm me !
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,The cosmos is me
Minkyx,I look hawt
ImTheCosmos,Dance boogy!
GoldlRathy,Boogydance
ImTheCosmos,Thats what my furby used to say
GoldlRathy,I used to have one of those
GoldlRathy,Once i was masturbating
ImTheCosmos,Yup
GoldlRathy,And it opened its eyes and said
GoldlRathy,Mmmm mmmmmmmmm!
ImTheCosmos,Yuuuummmmm
ImTheCosmos,Lol
GoldlRathy,Haha
GoldlRathy,Mine was black an white
ImTheCosmos,I had a grey one
ImTheCosmos,New childs play movie is coming out
ImTheCosmos,Reminded me of furbys
ImTheCosmos,Well i have to go get ready
ImTheCosmos,Adios
ImTheCosmos,And goodbye
GoldlRathy,Bybbyebye
ImTheCosmos,Ill just logout naturally
GoldlRathy,Lmao add me
ImTheCosmos,By standing here
ImTheCosmos,Okay
GoldlRathy,Look what someone just gave me
ImTheCosmos,How nice of them
GoldlRathy,I know right
ImTheCosmos,Weirdos
ImTheCosmos,Look what somebody gave me
ImTheCosmos,Cool huh?
GoldlRathy,Lmao ffs
ImTheCosmos,Lol
GoldlRathy,To be fair
ImTheCosmos,Most brutal thing ever
GoldlRathy,I had nothing til  st now
ImTheCosmos,Welp i gotta get ready
GoldlRathy,Yh same im going out in min
ImTheCosmos,I smell
GoldlRathy,I wash once a fortnight
ImTheCosmos,Need a shower for the pizza party
Rushpearl680,Our R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,Thats good for your skin
GoldlRathy,I have baby smooth skin
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
GoldlRathy,And im 27
ImTheCosmos,Otherwise you dry out
GoldlRathy,Yeh
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
GoldlRathy,Unless u get ur freak on
GoldlRathy,That diffeent
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,Yeah must wash the filth off
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
GoldlRathy,Lol
ImTheCosmos,All that sin
GoldlRathy,Take me to church
ImTheCosmos,No way
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
GoldlRathy,We'll both burst into flames
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,I would hate to see you catch fire
ImTheCosmos,Lol
GoldlRathy,Lmao
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
VORKI II,Yava
SCREAM 2H,Add Me
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
GoldlRathy,Im giving myself a head wank masage
GoldlRathy,Its nice
ImTheCosmos,Good job...
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Alyessium,Gottem
ImTheCosmos,I must log now
ImTheCosmos,Farewell
GoldlRathy,Alright dude
GoldlRathy,Il see u later
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:20:41]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:20:47]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:20:53]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:20:59]
Pleqar,11
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:04]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:10]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:16]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
IX_JOBI_XI,Can someone pls buy me arrow shaft i hit ge limit
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:22]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:27]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:34]
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:40]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:45]
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:51]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:21:57]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:03]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:08]
Interdire,Ready?
sl mp,Where to
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Trade accepted for Donkiq amount:300K [18:22:24]
RNG 5049,Donkiq has lost with a roll of [49] [18:22:28]
sl mp,:O
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:33]
Interdire,:Dddddddddddddd
sl mp,No fucking way
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:39]
sl mp,Congrats!!!
Interdire,I got it 2nd kc 
iBait Scrubs,     Nice!
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:45]
iBait Scrubs,Gz!!!
Interdire,After i came back
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:22:51]
sl mp,Ayyyyyy
iBait Scrubs,Holy fuck
Interdire,Cheers
iBait Scrubs,Nice rng
RNG 5049,Trade accepted for Donkiq amount:230K [18:23:11]
RNG 5049,Donkiq has lost with a roll of [36] [18:23:15]
Interdire,Idk what to do with it
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:23:19]
gargamel25,Trading up shark
iBait Scrubs,Let it follow you
sl mp,Wheres my son at
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:35:02]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:35:07]
RNG 5049,Trade accepted for Mark Justin amount:1061K [18:35:27]
RNG 5049,Mark Justin has lost with a roll of [42] [18:35:31]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:35:35]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:35:40]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:35:47]
RNG 5049,Trade accepted for Bafflewollox amount:100K [18:36:09]
RNG 5049,Bafflewollox has won [200K] with a roll of [85]! [18:36:14]
RNG 5049,Bafflewollox has been paid: 200K! [18:36:34]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:36:38]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:36:43]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:36:49]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:36:54]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:00]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:07]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:13]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:19]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:25]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:31]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:37]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:43]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:49]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:37:55]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:01]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:07]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:13]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:19]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:25]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:30]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:36]
fkntring,Giving away a few mill first come first serve pm me !
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:42]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:48]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:38:54]
Deus Aridam,Can anyone help me
fkntring,Giving away a few mill first come first serve pm me !
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:01]
70sacred1270,How
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:07]
fkntring,Giving away a few mill first come first serve pm me !
Deus Aridam,I require runescape gp
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:13]
Rushpearl680,Ur R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:19]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:24]
70sacred1270,What
kappaleena,Mf you got the stats to not beg. 
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:30]
fkntring,Giving away a few mill first come first serve pm me !
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:36]
Deus Aridam,I require g0ld
Deus Aridam,Pls
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:42]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:48]
70sacred1270,How mach
Deus Aridam,Omg
Deus Aridam,Tytytytytyty
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:53]
Yasoma2,Np
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:39:59]
ADIINDA,I neeed god
ADIINDA,Gold
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:05]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:11]
Yasoma2,Gave im my7 last 50m
fkntring,Giving away a few mill first come first serve pm me !
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:17]
70sacred1270,I ned gold
BaffleWollox,Im poor
kappaleena,Ok rwt loooool
ADIINDA,I need gold
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:23]
Deus Aridam,I need gold
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:30]
fkntring,Giving away a few mill first come first serve pm me !
70sacred1270,Ned g
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:35]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:41]
ADIINDA,I need gold
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:47]
fkntring,Giving away a few mill first come first serve pm me !
Deus Aridam,Gold plx
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:53]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:40:59]
Roadhawgg,Need money for gear plss
70sacred1270,Ned gold
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:05]
ADIINDA,I need gold
Deus Aridam,Tytyty
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:10]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:16]
fkntring,S/purple:Giving away a few mill first come first serve pm me !
70sacred1270,Ned gold
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:21]
ADIINDA,I need gold
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:28]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:34]
fkntring,Giving away a few mill first come first serve pm me !
70sacred1270,Plees gold
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:39]
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:46]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:51]
fkntring,Giving away a few mill first come first serve pm me !
Deus Aridam,Ty
ADIINDA,Kinky ty
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:41:57]
70sacred1270,Plees gold
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:02]
Deus Aridam,A mil omg
Deus Aridam,Ty
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:08]
fkntring,Giving away a few mill first come first serve pm me !
Vaifal Sifer,Need 5K Blood Runes
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:15]
70sacred1270,Plees gold
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:21]
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:27]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:32]
70sacred1270,Plees moony
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:38]
naefyo,Bruh
ADIINDA,Yes?
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:44]
naefyo,Get back to pest control
fkntring,Giving away a few mill first come first serve pm me !
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:50]
ADIINDA,After questing
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:42:56]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:02]
fkntring,Giving away a few mill first come first serve pm me !
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:08]
naefyo,Who givin the free gp's doe
70sacred1270,Ok
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:14]
ADIINDA,Yasoma
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:20]
fkntring,Giving away a few mill first come first serve pm me !
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:25]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Fill Werell, Selling 1 m addy dart tips 400k mith -- fill
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:31]
70sacred1270,I dont noo
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:37]
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:43]
RNG 5049,Original rng is back!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:49]
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:43:55]
fkntring,Giving away a few mill first come first serve pm me !
70sacred1270,Plees moony
RNG 5049,Huge payouts!! (100k to 678m) (55 to 100) - Rng 5049 [18:44:00]
